
2024/06/12 (16:42:41) | ===> btop++ v.1.2.3
2024/06/12 (16:42:41) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:05) | ===> btop++ v.1.2.3
2024/06/12 (16:43:05) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:07) | ===> btop++ v.1.2.3
2024/06/12 (16:43:07) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:09) | ===> btop++ v.1.2.3
2024/06/12 (16:43:09) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:37) | ===> btop++ v.1.2.3
2024/06/12 (16:43:37) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:39) | ===> btop++ v.1.2.3
2024/06/12 (16:43:39) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:40) | ===> btop++ v.1.2.3
2024/06/12 (16:43:40) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:40) | ===> btop++ v.1.2.3
2024/06/12 (16:43:40) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:41) | ===> btop++ v.1.2.3
2024/06/12 (16:43:41) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:41) | ===> btop++ v.1.2.3
2024/06/12 (16:43:41) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/12 (16:43:41) | ===> btop++ v.1.2.3
2024/06/12 (16:43:41) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/15 (13:38:47) | ===> btop++ v.1.2.3
2024/06/15 (13:38:47) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/15 (13:39:25) | ===> btop++ v.1.2.3
2024/06/15 (13:39:25) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/15 (13:39:28) | ===> btop++ v.1.2.3
2024/06/15 (13:39:28) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/06/17 (18:26:20) | ===> btop++ v.1.2.3
2024/06/17 (18:26:20) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/09/13 (18:22:33) | ===> btop++ v.1.3.0
2024/09/13 (18:22:33) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/13 (18:22:40) | ===> btop++ v.1.3.0
2024/09/13 (18:22:40) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/16 (12:04:38) | ===> btop++ v.1.4.0
2024/12/16 (12:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (13:20:31) | ===> btop++ v.1.4.0
2024/12/16 (13:20:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (10:52:58) | ===> btop++ v.1.4.0
2024/12/17 (10:52:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:31:48) | ===> btop++ v.1.4.0
2024/12/23 (14:31:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (18:49:11) | ===> btop++ v.1.4.0
2024/12/26 (18:49:11) | WARNING: Intel GPU: Failed to initialize PMU
